Category,Nutrient,Target population,Age,Gender,AI,AR,PRI,RI,UL,Safe and adequate intake,Years,PAL
Energy,Energy,Pregnant women,≥ 18 years,Female,NA ,69.2607,NA. ,NA ,NA ,,≥ 18,
Energy,Energy,Lactating women,≥ 18 years,Female,NA ,501.54300000000006,NA. ,NA ,NA ,,≥ 18,
Protein,Protein,Pregnant women,≥ 18 years,Female,NA ,,(+) 1 g/day,NA ,NA ,,≥ 18,
Protein,Protein,Lactating women,≥ 18 years,Female,NA ,,(+) 19 g/day,NA ,NA ,,≥ 18,
Minerals,Calcium,Pregnant women,18-24 years,Female,NA ,860.0,1000 mg/day,NA ,2500 mg/day,,18-24,
Minerals,Calcium,Lactating women,18-24 years,Female,NA ,860.0,1000 mg/day,NA ,2500 mg/day,,18-24,
Energy,Energy,Children,10 years PAL=1.6,Male,NA ,1934.523,NA. ,NA ,NA ,,10,1.6
Energy,Energy,Children,10 years PAL=1.8,Male,NA ,2173.353,NA. ,NA ,NA ,,10,1.8
Energy,Energy,Children,10 years PAL=2.0,Male,NA ,2412.183,NA. ,NA ,NA ,,10,2.0
Energy,Energy,Children,11 years PAL=1.6,Male,NA ,2030.055,NA. ,NA ,NA ,,11,1.6
Energy,Energy,Children,11 years PAL=1.8,Male,NA ,2292.768,NA. ,NA ,NA ,,11,1.8
Energy,Energy,Children,11 years PAL=2.0,Male,NA ,2555.4809999999998,NA. ,NA ,NA ,,11,2.0
Energy,Energy,Children,12 years PAL=1.6,Male,NA ,2173.353,NA. ,NA ,NA ,,12,1.6
Energy,Energy,Children,12 years PAL=1.8,Male,NA ,2436.066,NA. ,NA ,NA ,,12,1.8
Energy,Energy,Children,12 years PAL=2.0,Male,NA ,2722.6620000000003,NA. ,NA ,NA ,,12,2.0
Energy,Energy,Children,13 years PAL=1.6,Male,NA ,2340.534,NA. ,NA ,NA ,,13,1.6
Energy,Energy,Children,13 years PAL=1.8,Male,NA ,2627.13,NA. ,NA ,NA ,,13,1.8
Energy,Energy,Children,13 years PAL=2.0,Male,NA ,2913.726,NA. ,NA ,NA ,,13,2.0
Energy,Energy,Children,14 years PAL=1.6,Male,NA ,2507.715,NA. ,NA ,NA ,,14,1.6
Energy,Energy,Children,14 years PAL=1.8,Male,NA ,2818.1940000000004,NA. ,NA ,NA ,,14,1.8
Energy,Energy,Children,14 years PAL=2.0,Male,NA ,3128.6730000000002,NA. ,NA ,NA ,,14,2.0
Energy,Energy,Children,15 years PAL=1.6,Male,NA ,2698.7790000000005,NA. ,NA ,NA ,,15,1.6
Energy,Energy,Children,15 years PAL=1.8,Male,NA ,3033.141,NA. ,NA ,NA ,,15,1.8
Energy,Energy,Children,15 years PAL=2.0,Male,NA ,3367.503,NA. ,NA ,NA ,,15,2.0
Energy,Energy,Children,16 years PAL=1.6,Male,NA ,2842.077,NA. ,NA ,NA ,,16,1.6
Energy,Energy,Children,16 years PAL=1.8,Male,NA ,3200.322,NA. ,NA ,NA ,,16,1.8
Energy,Energy,Children,16 years PAL=2.0,Male,NA ,3558.5670000000005,NA. ,NA ,NA ,,16,2.0
Energy,Energy,Children,17 years PAL=1.6,Male,NA ,2937.6090000000004,NA. ,NA ,NA ,,17,1.6
Energy,Energy,Children,17 years PAL=1.8,Male,NA ,3295.8540000000003,NA. ,NA ,NA ,,17,1.8
Energy,Energy,Children,17 years PAL=2.0,Male,NA ,3677.9820000000004,NA. ,NA ,NA ,,17,2.0
Energy,Energy,Children,10 years PAL=1.6,Female,NA ,1815.108,NA. ,NA ,NA ,,10,1.6
Energy,Energy,Children,10 years PAL=1.8,Female,NA ,2053.938,NA. ,NA ,NA ,,10,1.8
Energy,Energy,Children,10 years PAL=2.0,Female,NA ,2268.885,NA. ,NA ,NA ,,10,2.0
Energy,Energy,Children,11 years PAL=1.6,Female,NA ,1910.64,NA. ,NA ,NA ,,11,1.6
Energy,Energy,Children,11 years PAL=1.8,Female,NA ,2149.4700000000003,NA. ,NA ,NA ,,11,1.8
Energy,Energy,Children,11 years PAL=2.0,Female,NA ,2388.3,NA. ,NA ,NA ,,11,2.0
Energy,Energy,Children,12 years PAL=1.6,Female,NA ,2006.1720000000003,NA. ,NA ,NA ,,12,1.6
