objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,,,,section,Pour 1 verre,,,,,1 verre,1,verre,,,,,,,,,
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,"<p>de liqueur de vanille, Galliano</p>
",,"0,5",ingredient,,,,,,,1,,Liqueur,328,"14,17",,,"0,1","39,6",1,"0,14"
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,"<p>de café espresso chaud</p>
",,"0,75",ingredient,,,,,,,1,,"Café, non instantané, non sucré, prêt à boire","6,88","21,26",,,,"1,35","4,3","0,91"
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,"<p>de <a href=""https://1ou2cocktails.com/cocktails/sirop-a-la-citrouille-epicee/"">sirop à la citrouille épicée</a></p>
",,"1,5",ingredient,,,,,,,1,,"Sirop à diluer, sucré",255,"42,52",,,,"62,6","2,7","1,15"
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,,"<p>Crème fouettée</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,,,,section,Garniture,,,,,,1,,,,,,,,,,
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,,"<p>Mélange dépices tarte à la citrouille</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,,,,section,Pour 1 verre,,,,,1 verre,1,verre,,,,,,,,,
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,"<p>de gin, Beefeater</p>
",,1,ingredient,,,,,,,1,,Gin,265,"28,35",,,0,0,0,0
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,"<p>de liqueur amère italienne, Campari</p>
",,1,ingredient,,,,,,,1,,Apéritif à base de vin ou vermouth,,"28,35",,,"0,054","11,3","7,37","2,09"
