           objectID                                                     post_title                                                                                                 url  quantity_kcal_total
0     cocktail_5690                                         Pumpkin Spice Hot Shot                                         https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/               156.37
7     cocktail_5665                                    Mano Cornuto's Negroni Sour                                     https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/                82.95
17    cocktail_5648                                              Porn Star Martini                                              https://1ou2cocktails.com/cocktails/porn-star-martini/               163.69
27    cocktail_5655                                               Sirop de Vanille                                               https://1ou2cocktails.com/cocktails/sirop-de-vanille/                 0.00
31    cocktail_5621                                        Gin & Radicchio Collins                                          https://1ou2cocktails.com/cocktails/gin-radicchio-collins/               172.71
39    cocktail_5626                                             Sirop de Radicchio                                             https://1ou2cocktails.com/cocktails/sirop-de-radicchio/                 0.00
43    cocktail_5615                              Thé Glacé Limonade aux Framboises                              https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/                 2.10
49    cocktail_5611                                 Sevilla Sour Rhubarbe & Fraise                                   https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/               150.26
57    cocktail_5609                    Sirop et Compote (2 en 1) Rhubarbe & Fraise                        https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/                 0.00
62    cocktail_5600                                 Ginto Pamplemousse & Concombre                                   https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/               112.68
69    cocktail_5593                                          Daiquiri Cerise Épicé                                          https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/               145.15
78    cocktail_5584                           Sgroppino (Sorbet Citron & Prosecco)                               https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/               220.27
84    cocktail_5553                                               Mezcal Margarita                                               https://1ou2cocktails.com/cocktails/mezcal-margarita/               182.41
92    cocktail_5548                                                 Vesper Martini                                                 https://1ou2cocktails.com/cocktails/vesper-martini/               256.42
99    cocktail_5531                                                   Mojito Royal                                                   https://1ou2cocktails.com/cocktails/mojito-royal/               283.38
108   cocktail_5525                                                   Sour Di Rosa                                                   https://1ou2cocktails.com/cocktails/sour-di-rosa/               143.38
116   cocktail_5514                                Sangria Cosmopolitaine (pichet)                                  https://1ou2cocktails.com/cocktails/sangria-cosmopolitaine-pichet/                94.48
127   cocktail_5520                              Sangria Cosmopolitaine (au verre)                                   https://1ou2cocktails.com/cocktails/sangria-cosmopolitaine-verre/                94.48
137   cocktail_5508                                        Margarita Al Limoncello                                        https://1ou2cocktails.com/cocktails/margarita-al-limoncello/               150.73
145   cocktail_5500                                        Espresso Martini No.900                                        https://1ou2cocktails.com/cocktails/espresso-martini-no-900/               106.31
152   cocktail_5492                                       Whisky Sour au Gingembre                                       https://1ou2cocktails.com/cocktails/whisky-sour-au-gingembre/               114.97
160   cocktail_5470                                                         Gimlet                                                         https://1ou2cocktails.com/cocktails/gimlet/               150.26
166   cocktail_5465                                Penicillin (version simplifiée)                                  https://1ou2cocktails.com/cocktails/penicillin-version-simplifiee/               113.02
174   cocktail_5457                                                  New York Sour                                                  https://1ou2cocktails.com/cocktails/new-york-sour/               162.33
182   cocktail_5452                                       Spritz Framboise Basilic                                       https://1ou2cocktails.com/cocktails/spritz-framboise-basilic/                 4.93
190   cocktail_5447                                           Sirop de Citronnelle                                           https://1ou2cocktails.com/cocktails/sirop-de-citronnelle/                 0.00
194   cocktail_5442                      Mocktail Exotique Citronnelle et Hibiscus                      https://1ou2cocktails.com/cocktails/mocktail-exotique-citronnelle-et-hibiscus/                98.82
201   cocktail_5434                                                  White Negroni                                                  https://1ou2cocktails.com/cocktails/white-negroni/               168.12
208   cocktail_5429                                           Vin Chaud Scandinave                                           https://1ou2cocktails.com/cocktails/vin-chaud-scandinave/               240.28
218   cocktail_5406                                 Shooter Épicé Piment et Sureau                                 https://1ou2cocktails.com/cocktails/shooter-epice-piment-et-sureau/               115.09
221   cocktail_5400                                        Lait de Poule Québécois                                        https://1ou2cocktails.com/cocktails/lait-de-poule-quebecois/                 0.00
233   cocktail_5391                                      Punch de Noël Gin & Pomme                                        https://1ou2cocktails.com/cocktails/punch-de-noel-gin-pomme/               129.08
244   cocktail_5361                                        Sour Gin et Raisin Vert                                        https://1ou2cocktails.com/cocktails/sour-gin-et-raisin-vert/               112.68
253   cocktail_5349                                             Breakfast Daiquiri                                             https://1ou2cocktails.com/cocktails/breakfast-daiquiri/               155.33
262   cocktail_5333                                              Sangria Aperitivo                                              https://1ou2cocktails.com/cocktails/sangria-aperitivo/                90.18
270   cocktail_5327                                                   Italian Mule                                                   https://1ou2cocktails.com/cocktails/italian-mule/               129.18
278   cocktail_5321                                                   Atoca Spritz                                                   https://1ou2cocktails.com/cocktails/atoca-spritz/               106.29
285   cocktail_5316                               Collins Gingembre et Citronnelle                               https://1ou2cocktails.com/cocktails/collins-gingembre-et-citronnelle/               116.59
292   cocktail_5305                                                Nuage de Litchi                                                https://1ou2cocktails.com/cocktails/nuage-de-litchi/               127.94
300   cocktail_5278                                                      Last Word                                                      https://1ou2cocktails.com/cocktails/last-word/               214.59
307   cocktail_5271                                         Pisco Sour à l'Abricot                                          https://1ou2cocktails.com/cocktails/pisco-sour-a-labricot/               151.30
316   cocktail_5267                                 Amaretto Sour Pomme & Cannelle                                   https://1ou2cocktails.com/cocktails/amaretto-sour-pomme-cannelle/               150.27
325   cocktail_5256                                                  White Russian                                                  https://1ou2cocktails.com/cocktails/white-russian/               139.16
331   cocktail_5224                                Bulles d'Automne Pomme & Épices                                   https://1ou2cocktails.com/cocktails/bulles-dautomne-pomme-epices/                33.60
339   cocktail_5218                                Shooter Zubrowka & Jus de Pomme                               https://1ou2cocktails.com/cocktails/shooter-zubrowka-et-jus-de-pomme/               147.62
342   cocktail_5207                                                 Naked & Famous                                                   https://1ou2cocktails.com/cocktails/naked-famous/               195.80
349   cocktail_5199                                          Sour à l'orange épicé                                           https://1ou2cocktails.com/cocktails/sour-a-lorange-epice/               164.93
360   cocktail_5192                                         Limonade au Limoncello                                         https://1ou2cocktails.com/cocktails/limonade-au-limoncello/                77.55
368   cocktail_5172                                        Mimosa Hibiscus Passion                                        https://1ou2cocktails.com/cocktails/mimosa-hibiscus-passion/               293.76
374   cocktail_5141                                         Slush Tropicale au Gin                                         https://1ou2cocktails.com/cocktails/slush-tropicale-au-gin/               120.73
383   cocktail_5131                                    Limonade à la Pêche Blanche                                    https://1ou2cocktails.com/cocktails/limonade-a-la-peche-blanche/                12.69
389   cocktail_5115                                                   Spritz Blanc                                                   https://1ou2cocktails.com/cocktails/spritz-blanc/               325.45
397   cocktail_5036                                   Melon d’Eau et Basilic Smash                                    https://1ou2cocktails.com/cocktails/melon-deau-et-basilic-smash/               108.77
405   cocktail_5031                                           Limonade à la Menthe                                           https://1ou2cocktails.com/cocktails/limonade-a-la-menthe/                40.14
412   cocktail_5025                                         Sour Fraise et Basilic                                         https://1ou2cocktails.com/cocktails/sour-fraise-et-basilic/               136.91
420   cocktail_5017                                     Gin Tonic Café & Concombre                                       https://1ou2cocktails.com/cocktails/gin-tonic-cafe-concombre/               114.14
428   cocktail_5011                                                     Beach Club                                  https://1ou2cocktails.com/cocktails/beach-club-vodka-pamplemousse/               102.90
436   cocktail_4990                                          Sour Lillet et Mezcal                                          https://1ou2cocktails.com/cocktails/sour-lillet-et-mezcal/                43.42
444   cocktail_4987                                                   Sauvez Willy                                                   https://1ou2cocktails.com/cocktails/sauvez-willy/                20.45
451   cocktail_4980                                  Sangria aux Fraises du Québec                                  https://1ou2cocktails.com/cocktails/sangria-aux-fraises-du-quebec/               127.53
460   cocktail_4965                                               Sirop de basilic                                               https://1ou2cocktails.com/cocktails/sirop-de-basilic/                 0.00
463   cocktail_4961                                               Tequila Kombucha                                               https://1ou2cocktails.com/cocktails/tequila-kombucha/               112.68
469   cocktail_4937                                        Gin & Jam à l’Argousier                                           https://1ou2cocktails.com/cocktails/gin-jam-a-largousier/               160.66
476   cocktail_4927                                        Gin Fizz Fraise et Rose                                        https://1ou2cocktails.com/cocktails/gin-fizz-fraise-et-rose/               123.62
486   cocktail_4922                                                 Garde la Pêche                                                 https://1ou2cocktails.com/cocktails/garde-la-peche/                 0.00
492   cocktail_4912                                        Spicy Margarita au Soho                                        https://1ou2cocktails.com/cocktails/spicy-margarita-au-soho/               252.44
500   cocktail_4834                                                 Sangria NO.900                                                 https://1ou2cocktails.com/cocktails/sangria-no-900/               138.48
511   cocktail_4841                                                   Michelangelo                                                   https://1ou2cocktails.com/cocktails/michelangelo/               115.36
521   cocktail_4850                                                   Basilic Sour                                                   https://1ou2cocktails.com/cocktails/basilic-sour/               136.35
529   cocktail_4856                                            Spritz du Printemps                                            https://1ou2cocktails.com/cocktails/spritz-du-printemps/               185.98
537   cocktail_4862                                                 Limonade Amaro                                                 https://1ou2cocktails.com/cocktails/limonade-amaro/               143.38
545   cocktail_4866                                              Amermelade Spritz                                              https://1ou2cocktails.com/cocktails/amermelade-spritz/               325.45
552   cocktail_4899                                   Gin Mule Menthe et Concombre                                   https://1ou2cocktails.com/cocktails/gin-mule-menthe-et-concombre/               112.68
560   cocktail_4822                                                  Dill With It!                                   https://1ou2cocktails.com/cocktails/gin-tonic-cornichon-et-aneth/               151.64
567   cocktail_4809                                             Sour au limoncello                                             https://1ou2cocktails.com/cocktails/sour-au-limoncello/               201.76
575   cocktail_4786                                 Key Lime Pie au Dulce de Leche                                 https://1ou2cocktails.com/cocktails/key-lime-pie-au-dulce-de-leche/                71.72
583   cocktail_4773                                            Mimosa Pamplemousse                                            https://1ou2cocktails.com/cocktails/mimosa-pamplemousse/                 0.00
588   cocktail_4764                                    Slush Banana Split Noisette                                    https://1ou2cocktails.com/cocktails/slush-banana-split-noisette/                94.95
596   cocktail_4757                                    Sour à la Pêche Sans Alcool                                    https://1ou2cocktails.com/cocktails/sour-a-la-peche-sans-alcool/               131.45
604   cocktail_4283                                           Cocktail Bleu Festif                                           https://1ou2cocktails.com/cocktails/cocktail-bleu-festif/               159.16
610   cocktail_4278                                    Slush Gin Coco et Concombre                                    https://1ou2cocktails.com/cocktails/slush-gin-coco-et-concombre/               165.98
