Category,Nutrient,Target population,Age,Gender,AI,AR,PRI,RI,UL,Safe and adequate intake,Years,PAL
Energy,Energy,Pregnant women,≥ 18 years,Female,NA ,69.2607,NA. ,NA ,NA ,,≥ 18,
Energy,Energy,Lactating women,≥ 18 years,Female,NA ,501.54300000000006,NA. ,NA ,NA ,,≥ 18,
Protein,Protein,Pregnant women,≥ 18 years,Female,NA ,,(+) 1 g/day,NA ,NA ,,≥ 18,
Protein,Protein,Lactating women,≥ 18 years,Female,NA ,,(+) 19 g/day,NA ,NA ,,≥ 18,
Energy,Energy,Adults,40–49 years PAL=1.4,Female,NA ,1791.2250000000001,NA. ,NA ,NA ,,40–49,1.4
Energy,Energy,Adults,40–49 years PAL=1.6,Female,NA ,2053.938,NA. ,NA ,NA ,,40–49,1.6
Energy,Energy,Adults,40–49 years PAL=1.8,Female,NA ,2316.651,NA. ,NA ,NA ,,40–49,1.8
Energy,Energy,Adults,40–49 years PAL=2.0,Female,NA ,2555.4809999999998,NA. ,NA ,NA ,,40–49,2.0
Protein,Protein,Adults,≥ 18 years,Female,NA ,0.66,0.83 g/kg bw per day,NA ,NA ,,≥ 18,
Water,Water,Adults,≥ 18 years,Female,2000.0,,NA ,NA ,NA ,,≥ 18,
Water,Water,Pregnant women,≥ 18 years,Female,2300.0,,NA ,NA ,NA ,,≥ 18,
Water,Water,Lactating women,≥ 18 years,Female,2700.0,,NA ,NA ,NA ,,≥ 18,
Minerals,Magnesium,Adults,≥ 18 years,Female,300,,NA ,NA ,250 mg/day,,≥ 18,
Minerals,Magnesium,Pregnant women,≥ 18 years,Female,300,,NA ,NA ,250 mg/day,,≥ 18,
Minerals,Magnesium,Lactating women,≥ 18 years,Female,300,,NA ,NA ,250 mg/day,,≥ 18,
Minerals,Manganese,Adults,≥ 18 years,Both genders,3,,NA ,NA ,ND ,,≥ 18,
Minerals,Manganese,Pregnant women,≥ 18 years,Female,3,,NA ,NA ,ND ,,≥ 18,
Minerals,Manganese,Lactating women,≥ 18 years,Female,3,,NA ,NA ,ND ,,≥ 18,
Minerals,Potassium,Adults,≥ 18 years,Both genders,3500,,NA ,NA ,ND ,,≥ 18,
Minerals,Potassium,Pregnant women,≥ 18 years,Female,3500,,NA ,NA ,ND ,,≥ 18,
Minerals,Potassium,Lactating women,≥ 18 years,Female,4000,,NA ,NA ,ND ,,≥ 18,
Vitamins,Vitamin B6,Adults,≥ 18 years,Female,NA ,1.3,1.6 mg/day,NA ,25 mg/day,,≥ 18,
Vitamins,Vitamin B6,Pregnant women,≥ 18 years,Female,NA ,1.5,1.8 mg/day,NA ,25 mg/day,,≥ 18,
Vitamins,Vitamin B6,Lactating women,≥ 18 years,Female,NA ,1.4,1.7 mg/day,NA ,25 mg/day,,≥ 18,
Vitamins,Vitamin C,Adults,≥ 18 years,Female,NA ,80.0,95 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin C,Pregnant women,≥ 18 years,Female,NA ,,105 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin C,Lactating women,≥ 18 years,Female,NA ,140.0,155 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin D,Adults,≥ 18 years,Both genders,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin D,Pregnant women,≥ 18 years,Female,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin D,Lactating women,≥ 18 years,Female,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin E,Adults,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
Vitamins,Vitamin E,Pregnant women,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
Vitamins,Vitamin E,Lactating women,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
