objectID,post_title,url,quantity_kcal_total,quantity_proteine_total,quantity_eau_total,quantity_calcium_total,quantity_magnésium_total,quantity_manganèse_total,quantity_potassium_total,quantity_sodium_total,quantity_vitamine B6_total,quantity_vitamine C_total,quantity_vitamine D_total,quantity_vitamine E_total
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,156.37,0.01,41.22,2.2,2.9,0.02,43.37,4.470000000000001,0.16,0.0,0.0,0.0
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,219.25,0.17,78.65,5.04,6.86,0.35,62.52,9.31,0.03,3.97,0.0,0.01
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,257.57,0.08,57.86,1.99,3.05,0.19,31.63,4.67,0.01,1.98,0.0,0.0
cocktail_5655,Sirop de Vanille,https://1ou2cocktails.com/cocktails/sirop-de-vanille/,519.37,0.0,152.57,9.5,3.74,0.01,32.89,7.19,0.0,0.0,0.0,0.0
cocktail_5621,Gin & Radicchio Collins,https://1ou2cocktails.com/cocktails/gin-radicchio-collins/,246.45,0.13,66.17,3.2,4.63,0.35,47.06,5.27,0.03,3.97,0.0,0.01
cocktail_5626,Sirop de Radicchio,https://1ou2cocktails.com/cocktails/sirop-de-radicchio/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,40.04,0.03,237.59,1.41,5.67,0.53,69.75,5.07,0.01,0.99,0.0,0.0
cocktail_5611,Sevilla Sour Rhubarbe & Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,269.93,0.09,68.95,2.87,3.4,0.27,35.72,5.12,0.02,2.98,0.0,0.0
cocktail_5609,Sirop et Compote (2 en 1) Rhubarbe & Fraise,https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/,649.2,0.0,190.62,9.79,3.74,0.01,33.45,7.75,0.0,0.0,0.0,0.0
cocktail_5600,Ginto Pamplemousse & Concombre,https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/,160.75,0.23,77.89999999999999,4.77,7.8,0.68,77.19,4.28,0.06,7.94,0.0,0.01
cocktail_5593,Daiquiri Cerise Épicé,https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/,225.61,0.21,86.52,4.58,7.01,0.62,71.22,4.59,0.05,6.95,0.0,0.01
cocktail_5584,Sgroppino (Sorbet Citron & Prosecco),https://1ou2cocktails.com/cocktails/sgroppino-sorbet-citron-prosecco/,34.29,0.0,59.06,4.03,4.14,0.05,47.98,1.56,0.0,0.0,0.0,0.0
cocktail_5553,Mezcal Margarita,https://1ou2cocktails.com/cocktails/mezcal-margarita/,211.74,0.11,54.89,2.12,3.62,0.26,36.08,3.98,0.02,2.98,0.0,0.0
cocktail_5548,Vesper Martini,https://1ou2cocktails.com/cocktails/vesper-martini/,256.42,0.0,75.02,1.01,1.03,0.02,12.3,2.05,0.0,0.0,0.0,0.0
cocktail_5531,Mojito Royal,https://1ou2cocktails.com/cocktails/mojito-royal/,129.34,0.0,99.98,6.61,6.47,0.09,75.31,4.14,0.0,0.0,0.0,0.0
